Data:,,,,,Planta 1,,,,,,,,,,,,Planta 2,,,,,,,,,,,,Planta 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda:,Tratamento,Parcela,RAMO,NÓ,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,Tratamentos,Parcelas,,Fazenda,,Réplica 1 (Parcela),,,,,,,,,,,Réplica 2 (Parcela),,,,,,,,,,,Réplica 3 (Parcela),,,,,,,,,,,Réplica 4 (Parcela),,,,,,,,,,,,,,,,,,
Vicente,T1,1,Dir.,1,4,5,,,,,,,,,,,2,5,1,2,,,,,,,,,,4,4,1,,,,,,,,,T1,T1 – 5 mg/planta (200 ml) de Harvista => 125 mg em 5 L,1-7-13-19,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,,,,,,
,,,,2,6,6,,,,,,,,,,,2,4,4,,,,,,,,,,1,5,4,3,,,,,,,,,T2,T2 – 10 mg/planta (200 ml) de Harvista => 250 mg em 5 L,2-8-14-20,,,T1,26,46,68,22,12,0,9,4,0,0,0,3,28,103,20,8,0,0,0,0,0,0,5,27,68,36,1,0,1,0,0,0,0,2,15,20,55,21,1,61,0,0,0,0,,,,,,,,
,,,,3,,2,4,4,,,,,,,,,,,10,,,,3,2,,,,,1,1,4,4,1,,1,,,,,,T3,T3 – 15 mg/planta (200 ml) de Harvista => 375 mg em 5 L,3-9-15-21,,,T2,6,49,60,57,0,0,0,0,0,0,0,1,13,54,65,28,2,6,2,0,0,0,3,19,76,17,2,0,2,0,0,0,0,1,14,38,33,77,0,1,0,0,0,0,,,,,,,,
,,,Esq.,1,,2,6,,,,,,,,,,4,4,1,,,,,,,,,,3,,5,,,,,,,,,,T4,T4 – 20 mg/planta (200 ml) de Harvista => 500 mg em 5 L,4-10-16-22,,,T3,3,6,43,37,71,1,0,2,0,0,0,0,9,70,70,24,0,0,2,0,0,0,4,25,42,43,10,5,3,13,0,0,0,0,39,53,15,13,3,7,0,0,0,0,,,,,,,,
,,,,2,,3,7,,,,,,,,,,3,3,3,1,,,,,,,,,,1,,7,1,,,,,,,,T5,T5 – 25 mg/planta (200 ml) de Harvista => 625 mg em 5 L,5-11-17-23,,,T4,0,1,42,37,78,0,65,0,0,0,0,0,14,42,46,63,2,18,1,0,0,0,1,29,42,50,2,1,7,0,0,0,0,4,34,31,32,15,1,19,0,0,0,0,,,,,,,,
,,,,3,,,8,,,,,,,,,,,,4,,6,,,2,,,,,,1,3,,4,,5,,,,,,T6,T6 – Testemunha (Nada),6-12-18-24,,,T5,2,4,38,37,63,10,47,0,0,0,0,0,9,64,28,47,0,45,6,0,0,0,0,19,64,38,6,3,8,0,0,0,0,6,16,40,60,4,0,12,0,0,0,0,,,,,,,,
,T2,2,Dir.,1,,2,4,7,,,,,,,,,1,5,,,,,,,,,,,1,2,8,,,,,,,,,,,,,,,T6,0,6,42,35,63,3,13,0,0,0,0,1,24,92,37,8,0,0,0,0,0,0,1,10,42,70,18,1,5,0,0,0,0,1,28,39,44,9,5,7,0,0,0,0,,,,,,,,
,,,,2,,3,7,2,,,,,,,,,,5,3,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,11,,,,,,,,,,2,5,,,,,,,,,,,1,,9,,,,,,,,,,,,,Fazenda,,Stages,,,,,,,,,,,Geral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,10,,,,,,,,,,,2,7,,,,,,,,,,,2,3,6,,,,,,,,,,,,,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,Rep.,Veg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
