Data:,,,,,Planta 1,,,,,,,,,,,,Planta 2,,,,,,,,,,,,Planta 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda:,Tratamento,Parcela,RAMO,NÓ,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,Tratamentos,Parcelas,,Fazenda,,Réplica 1 (Parcela),,,,,,,,,,,Réplica 2 (Parcela),,,,,,,,,,,Réplica 3 (Parcela),,,,,,,,,,,Réplica 4 (Parcela),,,,,,,,,,,,,,,,,,
Felipe,T1,1,Dir.,1,,2,2,1,,2,,,,,,,,,,,,4,,,,,,,,,,,,6,,,,,,,T1,T1 – 5 mg/planta (200 ml) de Harvista => 125 mg em 5 L,1-7-13-19,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,,,,,,
,,,,2,,,,,,3,9,,,,,,,,,,,6,,,,,,,,,,,,6,2,,,,,,T2,T2 – 10 mg/planta (200 ml) de Harvista => 250 mg em 5 L,2-8-14-20,,,T1,0,5,2,1,1,60,169,0,0,0,0,0,14,10,3,0,44,149,0,0,0,0,3,11,5,6,3,38,123,0,0,0,0,6,18,18,0,2,41,104,0,0,0,0,,,,,,,,
,,,,3,,,,,,1,30,,,,,,,,,,,2,9,,,,,,,,,,,1,28,,,,,,T3,T3 – 15 mg/planta (200 ml) de Harvista => 375 mg em 5 L,3-9-15-21,,,T2,3,21,10,5,1,41,137,0,0,0,0,1,10,5,3,3,47,132,0,0,0,0,2,13,11,1,1,24,220,1,0,0,0,5,11,2,1,2,39,205,0,0,0,0,,,,,,,,
,,,Esq.,1,,,,,,5,,,,,,,,2,,,,5,,,,,,,,,,,,5,,,,,,,T4,T4 – 20 mg/planta (200 ml) de Harvista => 500 mg em 5 L,4-10-16-22,,,T3,2,13,14,1,1,17,210,0,0,0,0,2,5,4,11,1,23,257,0,0,0,0,3,19,10,3,3,28,193,0,0,0,0,2,6,8,4,0,39,189,0,0,0,0,,,,,,,,
,,,,2,,1,,,,,24,,,,,,,,,,1,3,,,,,,,,,,,,4,15,,,,,,T5,T5 – 25 mg/planta (200 ml) de Harvista => 625 mg em 5 L,5-11-17-23,,,T4,1,7,2,0,2,14,290,1,0,0,0,0,7,20,5,9,29,161,0,0,0,0,2,17,8,5,11,24,165,0,0,0,0,2,25,14,6,2,14,184,0,0,0,0,,,,,,,,
,,,,3,,,,,,3,16,,,,,,,,,,,1,20,,,,,,,,,,,3,16,,,,,,T6,T6 – Testemunha (Nada),6-12-18-24,,,T5,2,21,4,0,0,24,192,0,0,0,0,3,11,14,6,1,14,235,0,0,0,0,2,14,12,4,2,16,266,0,0,0,0,3,20,13,4,0,2,256,0,0,0,0,,,,,,,,
,T2,2,Dir.,1,,4,3,1,,,,,,,,,,6,,,,,,,,,,,1,2,3,1,,,,,,,,,,,,,,T6,1,16,7,0,2,65,55,0,0,0,0,3,15,13,0,0,37,160,0,0,0,0,5,10,8,2,0,55,90,0,0,0,0,3,18,4,0,5,43,159,0,0,0,0,,,,,,,,
,,,,2,,,,,,5,1,,,,,,,,,,,3,5,,,,,,1,,,,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,4,10,,,,,,,,,,,6,,,,,,,,,,,,3,12,,,,,,,,,,Fazenda,,Stages,,,,,,,,,,,Geral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,1,3,2,,,,3,,,,,,,2,2,3,,,,,,,,,,3,,,,3,,,,,,,,,,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,Rep.,Veg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,1,,,,2,11,,,,,,,,,,,4,15,,,,,,,,,,,6,,,,,,,,,,,,T1,9,48,35,10,6,183,545,0,0,0,0,836,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,1,16,,,,,,,,,,,,34,,,,,,,,,,,2,22,,,,,,,,,,,T2,11,55,28,10,7,151,694,1,0,0,0,957,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T3,3,Dir.,1,,3,4,,,,,,,,,,,2,5,,,,,,,,,,,,2,,,,8,,,,,,,,,,,T3,9,43,36,19,5,107,849,0,0,0,0,1068,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,1,1,,9,,,,,,,,,,,,15,,,,,,,,1,,,,14,,,,,,,,,,,T4,5,56,44,16,24,81,800,1,0,0,0,1027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,6,4,,,,,,,,,,,3,12,,,,,,,,,,,1,9,,,,,,,,,,,T5,10,66,43,14,3,56,949,0,0,0,0,1141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,2,4,,,,,,,,,,,,,,,,,32,,,,,,,3,2,,,,,,,,,,,,,,,T6,12,59,32,2,7,200,464,0,0,0,0,776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,24,,,,,,,,,,,4,12,,,,,,,1,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,24,,,,,,,,,,,3,16,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T4,4,Dir.,1,,,,,,5,,,,,,,1,,,,,,15,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,16,,,,,,,,,,,2,13,,,,,,,,,,,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,2,,7,,,,,,,,,,,,28,1,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,,,18,,,,,,,,,,,,28,,,,,,,2,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,15,,,,,,,,,,,,23,,,,,,,,,,,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,13,,,,,,,,,,,,25,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T5,5,Dir.,1,,5,1,,,,,,,,,,,6,,,,,,,,,,,,2,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,1,,,,,16,,,,,,,3,1,,,3,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,5,3,,,,,,,,,,,,12,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,,2,13,,,,,,1,4,,,,,,,,,,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,18,,,,,,1,,,,,7,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,1,22,,,,,,,,,,,4,12,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T6,6,Dir.,1,,,,,,4,,,,,,,,6,,,,,,,,,,,,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,5,,,,,,,,4,,,,4,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,2,5,,,,,,,,,,,,13,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
