Data:,,,,,Planta 1,,,,,,,,,,,,Planta 2,,,,,,,,,,,,Planta 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda:,Tratamento,Parcela,RAMO,NÓ,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,Tratamentos,Parcelas,,Fazenda,,Réplica 1 (Parcela),,,,,,,,,,,Réplica 2 (Parcela),,,,,,,,,,,Réplica 3 (Parcela),,,,,,,,,,,Réplica 4 (Parcela),,,,,,,,,,,,,,,,,,
Felipe,T1,1,Dir.,1,,,,,,1,,,19,,,,,,,,,,,,28,,,,,,,,,,,,14,,,,T1,T1 – 5 mg/planta (200 ml) de Harvista => 125 mg em 5 L,1-7-13-19,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,,,,,,
,,,,2,,,,,,,,,26,,,,,,,,,,,,22,,,,,,,,,,,,,26,,,T2,T2 – 10 mg/planta (200 ml) de Harvista => 250 mg em 5 L,2-8-14-20,,,T1,0,0,0,1,0,1,0,0,222,139,0,0,0,0,0,0,0,0,0,167,93,0,0,0,0,0,0,0,0,0,181,38,0,0,0,0,1,0,3,0,0,267,28,0,,,,,,,,
,,,,3,,,,,,,,,,17,,,,,,,,,,,,17,,,,,,,,,,,,23,,,T3,T3 – 15 mg/planta (200 ml) de Harvista => 375 mg em 5 L,3-9-15-21,,,T2,0,0,0,0,0,0,0,0,247,58,0,0,0,0,0,0,3,0,0,160,83,0,0,0,0,0,0,1,0,0,155,89,0,0,0,0,0,0,2,0,0,206,73,0,,,,,,,,
,,,Esq.,1,,,,,,,,,17,,,,,,,,,,,,22,,,,,,,,,,,,20,,,,T4,T4 – 20 mg/planta (200 ml) de Harvista => 500 mg em 5 L,4-10-16-22,,,T3,0,0,0,0,3,1,0,0,143,31,0,0,0,0,0,0,0,0,0,187,101,0,0,0,0,0,0,0,0,0,193,92,0,0,0,0,0,0,0,0,0,166,91,0,,,,,,,,
,,,,2,,,,1,,,,,10,,,,,,,,,,,,8,1,,,,,,,,,,,27,4,,,T5,T5 – 25 mg/planta (200 ml) de Harvista => 625 mg em 5 L,5-11-17-23,,,T4,0,1,0,0,0,0,0,0,92,155,0,0,0,0,0,0,0,0,0,224,89,0,0,0,0,0,0,2,0,0,235,98,0,0,0,0,0,0,1,0,0,184,40,0,,,,,,,,
,,,,3,,,,,,,,,,24,,,,,,,,,,,,18,,,,,,,,,,,9,9,,,T6,T6 – Testemunha (Nada),6-12-18-24,,,T5,0,0,0,0,0,0,0,0,96,65,0,0,0,0,3,0,0,0,0,185,70,0,0,0,0,0,0,0,0,0,120,110,0,0,0,0,0,0,2,0,0,183,61,0,,,,,,,,
,T2,2,Dir.,1,,,,,,,,,25,,,,,,,,,,,,12,,,,,,,,,,,,17,,,,,,,,,T6,0,0,0,0,0,2,0,0,228,25,0,0,0,0,0,0,0,0,0,189,130,0,0,0,0,0,0,0,0,0,208,63,0,0,0,0,0,0,0,0,0,101,154,0,,,,,,,,
,,,,2,,,,,,,,,12,,,,,,,,,,,,16,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,18,,,,,,,,,,,,13,,,,,,,,,,,,,17,,,,,,,Fazenda,,Stages,,,,,,,,,,,Geral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,,,,,10,,,,,,,,,,,,23,,,,,,,,,,,,11,,,,,,,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,Rep.,Veg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,16,,,,,,,,,,,,30,,,,,,,,,,,,14,,,,,,,,,T1,0,0,0,2,0,4,0,0,837,298,0,1141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,27,,,,,,,,,,,14,,,,,,,,,,,,,14,,,,,,,,T2,0,0,0,0,0,6,0,0,768,303,0,1077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T3,3,Dir.,1,,,,,,,,,19,,,,,,,,3,1,,,5,,,,,,,,,,,,13,,,,,,,,,T3,0,0,0,0,3,1,0,0,689,315,0,1008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,16,,,,,,,,,,,,18,,,,,,,,,,,,8,,,,,,,,,T4,0,1,0,0,0,3,0,0,735,382,0,1121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,17,,,,,,,,,,,,9,,,,,,,,,,,,2,,,,,,,,,T5,0,0,0,3,0,2,0,0,584,306,0,895,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,,,,,9,,,,,,,,,,,,,6,,,,,,,,,,,7,,,,,,,,,T6,0,0,0,0,0,2,0,0,726,372,0,1100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,1,,,,,,,,,,,,9,10,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,1,,,,,,,,,,,,5,5,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T4,4,Dir.,1,,,,,,,,,18,,,,,,,,,,,,5,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,4,,,,,,,,,,,,6,15,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
