Data:,,,,,Planta 1,,,,,,,,,,,,Planta 2,,,,,,,,,,,,Planta 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda:,Tratamento,Parcela,RAMO,NÓ,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,Tratamentos,Parcelas,,Fazenda,,Réplica 1 (Parcela),,,,,,,,,,,Réplica 2 (Parcela),,,,,,,,,,,Réplica 3 (Parcela),,,,,,,,,,,Réplica 4 (Parcela),,,,,,,,,,,,,,,,,,
Vicente,T1,1,Dir.,1,1,2,5,,,,,,,,,,,,1,5,,,4,,,,,,,1,4,5,,,,,,,,,T1,T1 – 5 mg/planta (200 ml) de Harvista => 125 mg em 5 L,1-7-13-19,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,,,,,,
,,,,2,,6,7,,,,,,,,,,1,,4,4,1,,3,1,,,,,,,4,,6,,,,,,,,T2,T2 – 10 mg/planta (200 ml) de Harvista => 250 mg em 5 L,2-8-14-20,,,T1,4,19,53,53,25,0,62,1,0,0,0,0,17,37,21,74,0,80,0,0,0,0,0,6,38,40,8,2,119,0,0,0,0,0,1,17,33,6,0,291,0,0,0,0,,,,,,,,
,,,,3,,,1,9,,,,,,,,,,,,8,1,,3,,,,,,,,,,8,,8,,,,,,T3,T3 – 15 mg/planta (200 ml) de Harvista => 375 mg em 5 L,3-9-15-21,,,T2,0,14,26,42,72,0,20,1,0,0,0,0,0,0,36,95,0,131,20,0,0,0,0,2,58,36,5,0,74,0,0,0,0,0,1,13,9,78,0,210,1,0,0,0,,,,,,,,
,,,Esq.,1,,3,6,,,,,,,,,,,,4,1,,,,,,,,,2,3,,5,,,,,,,,,T4,T4 – 20 mg/planta (200 ml) de Harvista => 500 mg em 5 L,4-10-16-22,,,T3,0,0,2,12,95,0,166,3,0,0,0,0,0,0,18,124,0,117,6,0,0,0,0,3,18,25,30,15,97,1,0,0,0,0,18,40,35,6,0,133,0,0,0,0,,,,,,,,
,,,,2,,2,4,5,,,,,,,,,,2,4,4,,,2,,,,,,,,,3,4,,10,,,,,,T5,T5 – 25 mg/planta (200 ml) de Harvista => 625 mg em 5 L,5-11-17-23,,,T4,0,0,0,44,56,0,235,0,0,0,0,0,6,3,0,128,0,147,7,0,0,0,0,6,37,32,8,0,135,0,0,0,0,0,12,38,14,13,0,172,0,0,0,0,,,,,,,,
,,,,3,,,4,3,,,,,,,,,,,4,,,,20,,,,,,,,1,1,5,,12,,,,,,T6,T6 – Testemunha (Nada),6-12-18-24,,,T5,0,0,0,40,41,0,310,2,0,0,0,0,0,8,19,68,0,268,3,0,0,0,0,3,35,35,12,2,134,0,0,0,0,0,0,18,47,21,1,144,0,0,0,0,,,,,,,,
,T2,2,Dir.,1,,,,5,5,,,,,,,,,,7,,,,,,,,,,,,,5,5,,,,,,,,,,,,,T6,0,0,0,27,80,0,197,2,0,0,0,2,5,45,54,40,0,38,0,0,0,0,0,2,29,72,8,0,92,0,0,0,0,0,14,18,46,9,3,134,0,0,0,0,,,,,,,,
,,,,2,,,,,11,,,,,,,,,,7,,,,,,,,,,,,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,11,,,,,,,,,,4,,,,5,,,,,,,,,,9,,,,,,,,,,,,Fazenda,,Stages,,,,,,,,,,,Geral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,10,,,,,,,,,,,,3,5,,,,,,,,,,,1,,10,,,,,,,,,,,,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,Rep.,Veg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,10,,,,,,,,,,,,5,,,3,,,,,,,,,,11,,,,,,,,,,,,,T1,4,43,145,147,113,2,552,1,0,0,0,1007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,2,6,,,,,,,,,,2,,,,12,,,,,,,,,,9,,,1,,,,,,,,,,T2,0,17,97,123,250,0,435,22,0,0,0,944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T3,3,Dir.,1,,,2,2,7,,,,,,,,,,,,8,,,,,,,,,,,1,9,,,,,,,,,,,,,T3,0,21,60,90,255,15,513,10,0,0,0,964,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,8,,,,,,,,,,,4,4,,2,,,,,,,,,,3,,25,,,,,,,,,,,T4,0,24,78,90,205,0,689,7,0,0,0,1093,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,7,,2,,,,,,,,,5,,,15,,,,,,,,,,4,,25,,,,,,,,,,,T5,0,3,61,141,142,3,856,5,0,0,0,1211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,9,,,,,,,,,,,,8,,,,,,,,,,,,5,,8,,,,,,,,,,,T6,2,21,92,199,137,3,461,2,0,0,0,917,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,7,,12,2,,,,,,,,,1,,15,1,,,,,,,,,3,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,40,,,,,,,,,,6,,4,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T4,4,Dir.,1,,,,8,1,,,,,,,,,,,,10,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,4,4,,,,,,,,,,,,4,,12,,,,,,,,,,1,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,4,,,10,,,,,,,,,,5,,16,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,8,,,,,,,,,,,8,,,7,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,8,,8,,,,,,,,,,3,,21,,,,,,,,,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,34,,,,,,,,,,2,,37,,,,,,,,,,4,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T5,5,Dir.,1,,,,4,4,,3,,,,,,,,,,1,,37,,,,,,,,,,2,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,6,,15,,,,,,,,,5,1,,10,,,,,,,,,,1,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,3,,25,,,,,,,,,4,,,4,,,,,,,,,11,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,11,,,,,,,,,,,,4,4,,,,,,,,,,,,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,42,,,,,,,,,,2,,25,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,3,,16,,,,,,,,,1,2,,18,,,,,,,,,,3,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T6,6,Dir.,1,,,,10,,,,,,,,,,,,,,,45,2,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,5,2,,2,,,,,,,,,,2,,35,,,,,,,,,,7,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,22,,,,,,,,,3,2,,15,,,,,,,,,,9,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,10,,,,,,,,,,,,6,,17,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,6,,5,,,,,,,,,,2,,12,,,,,,,,,,6,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,7,,,,,,,,,,,,6,,10,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T1,7,Dir.,1,,,,,9,,,,,,,,,,,10,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,9,,7,,,,,,,,,,4,,24,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,5,5,,,,,,,,,,,,,,32,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,12,,,,,,,,,10,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,6,,15,,,,,,,,,,10,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,10,,2,,,,,,,,,1,9,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T2,8,Dir.,1,,,,9,,,,,,,,,,,,,9,,,2,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,7,,8,,,,,,,,,,7,,4,2,,,,,,,,,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,10,,2,2,,,,,,,,,8,,,3,,,,,,,,,6,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,10,,,,,,,,,,,5,5,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,10,,,2,,,,,,,,7,,,12,4,,,,,,,,,9,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,2,,32,,,,,,,,,,,,31,,,,,,,,,,1,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T3,9,Dir.,1,,,,8,,,,,,,,,,,,,10,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,8,,2,1,,,,,,,,,6,,16,,,,,,,,,,6,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,7,,2,,,,,,,,,,5,,22,,,,,,,,,,8,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,8,,,,,,,,,,,,10,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,10,,,,,,,,,,,,5,,24,,,,,,,,,,7,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,6,,12,,,,,,,,,,8,,6,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T4,10,Dir.,1,,,,,10,,,,,,,,,,,,10,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,10,,,,,,,,,,,,10,,,,,,,,,,,,5,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,4,,22,,,,,,,,,,6,,15,1,,,,,,,,,7,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,10,,,,,,,,,,,,11,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,8,,4,,,,,,,,,,2,,30,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,4,,22,,,,,,,,,,5,,16,,,,,,,,,,8,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T5,11,Dir.,1,,,,3,6,,,,,,,,,,8,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,4,,21,,,,,,,,,8,1,,2,,,,,,,,,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,35,,,,,,,,,1,1,,31,,,,,,,,,,4,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,9,,,,,,,,,,,4,,,17,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,3,,17,,,,,,,,,,2,,26,,,,,,,,,,3,,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,5,,10,,,,,,,,,,4,,20,,,,,,,,,,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T6,12,Dir.,1,,,,10,,,,,,,,,,2,8,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,10,,,,,,,,,,10,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,5,3,,4,,,,,,,,,4,,,8,,,,,,,,,1,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,9,,,,,,,,,,2,7,,,,,,,,,,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
